"LAT","LONG"
65.371498,58.023582
65.369247,34.246029
65.367691,32.715279
65.352943,52.854916
65.349586,57.004528
65.334419,45.152863
65.318642,53.416584
65.304802,33.542557
65.30072,52.927971
65.293808,43.630028
65.292892,52.691166
65.291252,45.137749
65.290558,53.285999
65.288475,43.911335
65.276581,57.118473
65.273582,53.368473
65.261108,57.014221
65.254585,39.903946
65.240639,51.854305
65.234726,49.531113
65.234444,45.286251
65.207748,36.825001
65.18914,31.177944
65.180115,53.640221
65.149559,45.486721
65.148247,37.060307
65.134834,36.88736
65.127113,57.023888
65.126472,52.478249
65.109276,41.352859
65.101059,57.05389
65.088142,53.942028
65.087524,40.119167
65.087135,37.390388
65.085136,51.945332
65.070892,45.700359
65.06414,53.853554
65.055115,45.613499
65.043335,56.693306
65.03064,35.723862
65.026886,30.427139
65.015892,52.331055
65.015694,56.558807
65.013,53.92561
65.010696,33.744946
65.007309,53.819416
64.991028,34.7845
64.989502,45.537804
64.985107,45.952946
64.976555,51.886055
64.97567,43.518612
64.973969,37.690277
64.966469,40.427582
64.965858,32.894527
64.962639,46.330166
64.962135,45.574696
64.948364,36.828445
64.935471,47.12661
64.929085,53.806389
64.920807,57.653805
64.914581,40.243279
64.914444,41.051224
64.899719,45.737526
64.898552,56.425278
64.897858,46.714554
64.886192,36.588417
64.881302,57.613304
64.875,37.946362
64.863586,43.432194
64.858002,53.737835
64.844193,47.450779
64.831497,57.857224
64.813446,53.784695
64.805809,36.585724
64.801025,49.706974
64.795135,38.422749
64.787003,40.450974
64.772636,38.365307
64.765419,47.598946
64.750694,32.099445
64.743057,45.870667
64.73642,57.86739
64.734497,49.297832
64.727165,40.765278
64.718391,36.552944
64.713913,43.80125
64.69075,39.021889
64.690636,43.384918
64.689804,55.921585
64.684944,36.75486
64.682892,45.08939
64.671417,57.914196
64.662636,43.460751
64.66114,47.808304
64.638336,41.027973
64.636719,46.006001
64.626526,43.36972
64.611389,43.922306
64.600136,38.179138
64.586334,46.129807
64.584641,30.5905
64.571281,33.23214
64.570221,43.908916
64.568832,56.296001
64.557724,55.471111
64.556808,44.627388
64.552444,48.14011
64.54892,48.429138
64.531693,57.797138
64.515945,53.312332
64.499168,43.218388
64.492226,44.184944
64.491943,53.384277
64.49189,46.145054
64.490585,53.214943
64.485748,40.823807
64.485497,55.313499
64.47908,44.073807
64.454002,57.679279
64.448753,37.071724
64.446114,39.770222
64.435303,40.45425
64.417641,37.912556
64.415276,55.216805
64.413719,40.249279
64.39003,32.981834
64.382416,37.437332
64.372475,31.199278
64.358971,41.15097
64.356552,57.679001
64.346664,41.750057
64.342415,55.141666
64.322807,54.248474
64.312447,44.302307
64.30883,38.091694
64.298775,48.784054
64.289719,54.283306
64.276642,42.943501
64.276138,57.628113
64.257889,35.412251
64.23378,41.950359
64.228416,44.236637
64.225723,41.637695
64.225586,46.419388
64.222832,42.521084
64.222809,46.569305
64.214279,57.485416
64.193779,58.029057
64.172363,48.805752
64.154808,38.047085
64.154221,58.579807
64.144249,41.933723
64.142418,42.282806
64.14167,34.242332
64.140388,32.341415
64.129974,57.603584
64.102165,44.233971
64.097252,31.808361
64.08667,57.462223
64.084503,57.521915
64.076668,48.84914
64.074806,46.881832
64.073524,32.772778
64.073387,36.176193
64.046165,58.624306
64.04467,30.783472
64.038139,57.694916
64.036003,57.452835
64.020142,36.016361
64.018837,47.053276
64.010864,44.354332
64.010559,38.12225
64.004639,41.817276
63.99736,44.441055
63.979752,33.476555
63.96664,44.283054
63.940887,57.582943
63.936222,57.879391
63.923832,36.258446
63.913502,53.730141
63.910526,48.573582
63.902863,54.440887
63.891056,34.288723
63.890945,35.251751
63.8755,33.094612
63.872139,57.336113
63.869141,47.317749
63.85664,56.950359
63.848694,41.678082
